┌─────────┬─────────┬────────────────┬───────────┬────────────────┬─────────────────────┐
│ user_id │ persona │ trend_affinity │ age_group │ income_bracket │ dietary_restriction │
│ varchar │ varchar │    varchar     │  varchar  │    varchar     │       varchar       │
├─────────┼─────────┼────────────────┼───────────┼────────────────┼─────────────────────┤
│ U00001  │ casual  │ gut-health     │ 45-54     │ High           │ none                │
│ U00002  │ fitness │ plant-based    │ 55+       │ Low            │ none                │
│ U00003  │ budget  │ plant-based    │ 18-24     │ Low            │ kosher              │
│ U00004  │ budget  │ gut-health     │ 35-44     │ Medium         │ none                │
│ U00005  │ fitness │ low-sugar      │ 35-44     │ Medium         │ none                │
│ U00006  │ unknown │ low-sugar      │ 55+       │ Medium         │ pescatarian         │
│ U00007  │ budget  │ low-sugar      │ 25-34     │ High           │ vegetarian          │
│ U00008  │ casual  │ plant-based    │ 25-34     │ Medium         │ none                │
│ U00009  │ premium │ protein        │ 35-44     │ Low            │ jain                │
│ U00010  │ fitness │ plant-based    │ 35-44     │ Low            │ none                │
│ U00011  │ budget  │ protein        │ 25-34     │ High           │ none                │
│ U00012  │ budget  │ plant-based    │ 35-44     │ High           │ none                │
│ U00013  │ budget  │ clean-label    │ 45-54     │ Medium         │ none                │
│ U00014  │ fitness │ clean-label    │ 35-44     │ Low            │ none                │
│ U00015  │ unknown │ gut-health     │ 18-24     │ Low            │ none                │
│ U00016  │ fitness │ protein        │ 25-34     │ High           │ vegetarian          │
│ U00017  │ fitness │ clean-label    │ 35-44     │ Low            │ none                │
│ U00018  │ casual  │ gut-health     │ 45-54     │ Low            │ none                │
│ U00019  │ fitness │ clean-label    │ 18-24     │ Medium         │ none                │
│ U00020  │ casual  │ plant-based    │ 18-24     │ Medium         │ none                │
│   ·     │   ·     │      ·         │   ·       │   ·            │  ·                  │
│   ·     │   ·     │      ·         │   ·       │   ·            │  ·                  │
│   ·     │   ·     │      ·         │   ·       │   ·            │  ·                  │
│ U04981  │ casual  │ clean-label    │ 35-44     │ Medium         │ none                │
│ U04982  │ budget  │ clean-label    │ 18-24     │ Low            │ jain                │
│ U04983  │ fitness │ gut-health     │ 18-24     │ Medium         │ none                │
│ U04984  │ casual  │ gut-health     │ 18-24     │ High           │ vegan               │
│ U04985  │ premium │ gut-health     │ 35-44     │ Medium         │ none                │
│ U04986  │ casual  │ low-sugar      │ 35-44     │ Medium         │ vegan               │
│ U04987  │ unknown │ plant-based    │ 25-34     │ Medium         │ vegetarian          │
│ U04988  │ premium │ low-sugar      │ 25-34     │ Low            │ none                │
│ U04989  │ fitness │ protein        │ 25-34     │ High           │ vegetarian          │
│ U04990  │ budget  │ plant-based    │ 45-54     │ Medium         │ none                │
│ U04991  │ budget  │ low-sugar      │ 25-34     │ High           │ jain                │
│ U04992  │ budget  │ clean-label    │ 45-54     │ High           │ none                │
│ U04993  │ casual  │ clean-label    │ 18-24     │ Low            │ jain                │
│ U04994  │ casual  │ low-sugar      │ 25-34     │ Medium         │ none                │
│ U04995  │ premium │ gut-health     │ 25-34     │ Medium         │ halal               │
│ U04996  │ casual  │ low-sugar      │ 18-24     │ Low            │ vegetarian          │
│ U04997  │ premium │ low-sugar      │ 18-24     │ Medium         │ vegan               │
│ U04998  │ budget  │ gut-health     │ 45-54     │ Low            │ none                │
│ U04999  │ premium │ low-sugar      │ 25-34     │ Medium         │ none                │
│ U05000  │ premium │ gut-health     │ 55+       │ Medium         │ vegetarian          │
└─────────┴─────────┴────────────────┴───────────┴────────────────┴─────────────────────┘
  5000 rows (40 shown)            use .last to show entire result             6 columns
