┌────────────┬────────┬─────────────────┬───────────────────┐
│ price_band │ demand │ previous_demand │ demand_change_pct │
│   double   │ int128 │     int128      │      double       │
├────────────┼────────┼─────────────────┼───────────────────┤
│       15.0 │  26775 │           43186 │             -38.0 │
│       20.0 │  14496 │           26775 │            -45.86 │
│       25.0 │  11149 │           14496 │            -23.09 │
│       35.0 │   5748 │           10097 │            -43.07 │
│       45.0 │   4463 │            6264 │            -28.75 │
│       65.0 │   1817 │            3780 │            -51.93 │
│       70.0 │    982 │            1817 │            -45.95 │
│       80.0 │   1485 │            2389 │            -37.84 │
│       90.0 │    849 │            1723 │            -50.73 │
│      100.0 │    841 │            1063 │            -20.88 │
│      110.0 │    346 │             889 │            -61.08 │
│      125.0 │    549 │            1192 │            -53.94 │
│      130.0 │    103 │             549 │            -81.24 │
│      145.0 │   1509 │            1889 │            -20.12 │
│      150.0 │    995 │            1509 │            -34.06 │
│      155.0 │    132 │             995 │            -86.73 │
│      200.0 │    280 │             393 │            -28.75 │
└────────────┴────────┴─────────────────┴───────────────────┘
  17 rows                                         4 columns
