┌────────────┬───────────┬──────────────────┬───────────┬─────────────┬───────────────┬─────────────────┐
│   state    │ city_tier │ num_transactions │ avg_price │ total_units │ total_revenue │ avg_order_value │
│  varchar   │  varchar  │      int64       │  double   │   int128    │    double     │     double      │
├────────────┼───────────┼──────────────────┼───────────┼─────────────┼───────────────┼─────────────────┤
│ Colorado   │ Tier 2    │             1318 │     33.76 │        4875 │     166599.81 │           126.4 │
│ New York   │ Tier 2    │             2895 │     33.26 │       11269 │     348394.41 │          120.34 │
│ Colorado   │ Unknown   │              454 │     33.19 │        1673 │      79744.45 │          175.65 │
│ New York   │ Tier 1    │             3687 │     32.78 │       13792 │     377644.48 │          102.43 │
│ Colorado   │ Tier 1    │             1853 │     32.76 │        7959 │     283381.06 │          152.93 │
│ California │ Tier 2    │             2713 │      32.3 │       11417 │     382435.74 │          140.96 │
│ California │ Unknown   │              921 │     32.12 │        3692 │     135554.59 │          147.18 │
│ California │ Tier 1    │             3719 │     31.89 │       14672 │     470823.32 │           126.6 │
│ Illinois   │ Tier 1    │             1839 │     31.64 │        6511 │     208800.66 │          113.54 │
│ Illinois   │ Tier 2    │             1382 │     31.61 │        6045 │      178067.3 │          128.85 │
│ New York   │ Unknown   │              924 │     31.54 │        4842 │     138102.96 │          149.46 │
│ Florida    │ Unknown   │              440 │     31.52 │        1047 │      32481.86 │           73.82 │
│ Washington │ Tier 1    │             1831 │     30.28 │        7687 │     232669.92 │          127.07 │
│ Texas      │ Unknown   │              428 │     30.26 │        2167 │      85481.41 │          199.72 │
│ Georgia    │ Unknown   │              443 │     29.73 │        2941 │      70986.01 │          160.24 │
│ Florida    │ Tier 1    │             1822 │     29.68 │        8529 │      219620.8 │          120.54 │
│ Washington │ Tier 2    │             1373 │     29.55 │        4684 │      192709.9 │          140.36 │
│ Florida    │ Tier 2    │             1353 │     29.53 │        5745 │     163915.34 │          121.15 │
│ Texas      │ Tier 2    │             1464 │     29.32 │        6994 │     184453.19 │          125.99 │
│ Illinois   │ Unknown   │              473 │     29.27 │        2191 │      52657.69 │          111.33 │
│ New York   │ Tier 3    │             1831 │     29.09 │        7488 │     215817.33 │          117.87 │
│ Texas      │ Tier 1    │             1739 │     28.66 │        7082 │     225367.98 │           129.6 │
│ California │ Tier 3    │             1846 │     28.54 │        7482 │     257196.99 │          139.33 │
│ Colorado   │ Tier 3    │              948 │     28.52 │        4556 │     164778.94 │          173.82 │
│ Georgia    │ Tier 1    │             1786 │     28.47 │        7092 │     199161.77 │          111.51 │
│ Washington │ Unknown   │              441 │     27.93 │        2432 │      53442.79 │          121.19 │
│ Georgia    │ Tier 2    │             1330 │     27.17 │        6756 │      152974.7 │          115.02 │
│ Illinois   │ Tier 3    │              940 │     26.83 │        4611 │     140213.74 │          149.16 │
│ Florida    │ Tier 3    │              892 │     26.62 │        3758 │      97444.59 │          109.24 │
│ Washington │ Tier 3    │              920 │     26.07 │        3472 │      92686.12 │          100.75 │
│ Texas      │ Tier 3    │              935 │     25.26 │        3381 │      94358.33 │          100.92 │
│ Georgia    │ Tier 3    │              922 │     24.56 │        4138 │     109278.11 │          118.52 │
└────────────┴───────────┴──────────────────┴───────────┴─────────────┴───────────────┴─────────────────┘
  32 rows                                                                                     7 columns
