┌───────────────────┬──────────────────┬───────────┬─────────────┬───────────────┐
│   product_claim   │ num_transactions │ avg_price │ total_units │ total_revenue │
│      varchar      │      int64       │  double   │   int128    │    double     │
├───────────────────┼──────────────────┼───────────┼─────────────┼───────────────┤
│ keto-friendly     │             8528 │     38.09 │       40093 │    1472418.47 │
│ low-sugar         │             9547 │     37.36 │       40288 │    1571186.65 │
│ vegan             │            10463 │     35.64 │       47554 │    1691238.26 │
│ jain-friendly     │            10691 │     33.67 │       43062 │    1509067.23 │
│ clean-label       │            10660 │     32.83 │       43129 │    1423610.26 │
│ halal             │             8711 │      32.0 │       36210 │    1141528.51 │
│ high-protein      │             9650 │     31.88 │       43900 │    1388910.52 │
│ diabetic-friendly │            10533 │     30.34 │       44924 │    1376377.15 │
│ gluten-free       │            12548 │     29.38 │       55425 │    1474552.64 │
│ nut-free          │             8004 │     27.89 │       30397 │     918078.69 │
│ kosher            │            11564 │     25.32 │       48267 │    1209626.93 │
│ plant-based       │             8399 │     21.63 │       31194 │     637073.28 │
└───────────────────┴──────────────────┴───────────┴─────────────┴───────────────┘
  12 rows                                                              5 columns
