order_id,product_id,price,quantity,channel,revenue,persona,income_bracket,trend_affinity,state,city_tier,occasion,category,claims,pack_size
ORD026255,P087,7.11,3,Marketplace,21.330000000000002,fitness,Low,protein,California,Tier 1,daily snack,proten shake,"high-protein, gluten-free, halal",Single
ORD023207,P023,26.24,5,App,131.2,budget,Medium,low-sugar,Texas,Tier 1,late-night,proten shake,plant-based,4-Pack
ORD022084,P067,7.18,1,Retail,7.18,fitness,Medium,clean-label,Texas,Tier 3,festive,supplement,halal,Single
ORD013963,P025,48.73,3,Gym Kiosk,146.19,fitness,Low,plant-based,Colorado,Tier 1,late-night,meal replacement,"keto-friendly, vegan, low-sugar, diabetic-friendly",4-Pack
ORD028277,P133,68.78,2,Retail,137.56,premium,Low,protein,Calfornia,Tier 2,marathon-prep,protein bar,"diabetic-friendly, vegan, clean-label, gluten-free",4-Pack
ORD019763,P101,9.34,6,Marketplace,56.04,casual,Low,low-sugar,Florida,Tier 1,late-night,proten shake,"keto-friendly, low-sugar, gluten-free, jain-friendly",Single
ORD006695,P070,10.74,2,Retail,21.48,premium,Low,protein,California,Tier 1,late-night,protein bar,"high-protein, vegan",Single
ORD013256,P096,27.51,2,Website,55.02,budget,Medium,clean-label,NY,Tier 2,religious-fasting,electrolyte drink,high-protein,4-Pack
ORD004700,P105,143.33,2,App,286.66,budget,High,protein,Texas,Tier 2,road-trip,meal replacement,"gluten-free, halal",12-Pack
ORD034144,P073,14.66,1,App,14.66,casual,Medium,low-sugar,Florida,Tier 1,daily snack,protein bar,"jain-friendly, high-protein, halal, keto-friendly",Single
ORD012479,P047,10.03,1,Website,10.03,premium,High,clean-label,Illinois,Tier 1,daily snack,meal replacement,low-sugar,Single
ORD041991,P043,21.39,1,App,21.39,fitness,Medium,gut-health,Florida,Tier 2,religious-fasting,protein bar,"diabetic-friendly, high-protein, keto-friendly, clean-label",Single
ORD020919,P047,10.03,3,Retail,30.089999999999996,budget,Low,gut-health,Calfornia,Tier 2,festive,meal replacement,low-sugar,Single
ORD006662,P124,7.73,3,Gym Kiosk,23.19,premium,Medium,protein,Washington,Tier 1,on-the-go,meal replacement,kosher,Single
ORD042275,P068,15.56,6,Marketplace,93.36,budget,Low,protein,California,Tier 2,on-the-go,healthy snack,"keto-friendly, clean-label, gluten-free",Single
ORD013172,P006,5.13,151,Gym Kiosk,774.63,fitness,Medium,gut-health,NY,Tier 3,road-trip,protein shake,"gluten-free, halal, kosher",Single
ORD006584,P013,19.3,1,App,19.3,premium,Medium,clean-label,Illinois,Tier 3,gym,electrolyte drink,"kosher, diabetic-friendly, clean-label",Single
ORD038464,P095,9.99,1,Retail,9.99,premium,Low,low-sugar,Calfornia,Tier 1,late-night,protein bar,halal,Single
ORD049790,P092,6.68,1,Marketplace,6.68,unknown,Medium,clean-label,Texas,Tier 1,daily snack,protein bar,"jain-friendly, gluten-free, vegan",Single
ORD020869,P049,11.16,4,Website,44.64,fitness,Medium,low-sugar,Washington,Tier 3,late-night,protein shake,"high-protein, gluten-free, diabetic-friendly, nut-free",Single
ORD039104,P065,14.97,2,Website,29.94,budget,High,clean-label,NY,Tier 2,road-trip,,"nut-free, low-sugar",Single
ORD027985,P136,25.58,1,Retail,25.58,budget,Medium,protein,California,Tier 2,marathon-prep,electrolyte drink,"high-protein, nut-free",4-Pack
ORD034457,P073,12.02,2,App,24.04,casual,Medium,protein,New York,Tier 1,late-night,protein bar,"jain-friendly, high-protein, halal, keto-friendly",Single
