┌─────────┬──────────────┬──────────────────┬───────────┬───────────────┐
│ persona │ price_bucket │ num_transactions │ avg_units │ total_revenue │
│ varchar │   varchar    │      int64       │  double   │    double     │
├─────────┼──────────────┼──────────────────┼───────────┼───────────────┤
│ budget  │ 1) Under 10  │             2328 │      4.17 │      77480.69 │
│ budget  │ 2) 10-19     │             4165 │      4.21 │     250833.07 │
│ budget  │ 3) 20-29     │             1461 │      3.46 │     120460.74 │
│ budget  │ 4) 30-39     │              827 │      4.98 │     140486.55 │
│ budget  │ 5) 40-49     │              698 │      3.67 │     113114.69 │
│ budget  │ 6) 50+       │             1921 │      4.57 │    1432856.21 │
│ casual  │ 1) Under 10  │             2323 │      4.21 │      73436.57 │
│ casual  │ 2) 10-19     │             4282 │      3.95 │     239466.32 │
│ casual  │ 3) 20-29     │             1457 │      3.32 │      117543.2 │
│ casual  │ 4) 30-39     │              759 │      4.54 │     118427.42 │
│ casual  │ 5) 40-49     │              660 │      4.06 │      122028.7 │
│ casual  │ 6) 50+       │             2001 │      4.23 │    1523584.13 │
│ fitness │ 1) Under 10  │             2518 │      4.95 │      94937.56 │
│ fitness │ 2) 10-19     │             4159 │       3.8 │     230061.68 │
│ fitness │ 3) 20-29     │             1500 │      4.22 │      156362.7 │
│ fitness │ 4) 30-39     │              865 │      4.16 │     121336.94 │
│ fitness │ 5) 40-49     │              722 │      3.55 │     115906.47 │
│ fitness │ 6) 50+       │             2029 │      4.31 │     1652413.1 │
│ premium │ 1) Under 10  │             2317 │      4.67 │      84179.66 │
│ premium │ 2) 10-19     │             4231 │       3.7 │     225373.33 │
│ premium │ 3) 20-29     │             1382 │       5.5 │     188349.35 │
│ premium │ 4) 30-39     │              842 │      4.82 │     141309.53 │
│ premium │ 5) 40-49     │              680 │      3.84 │     119504.35 │
│ premium │ 6) 50+       │             1950 │      3.38 │     1309574.2 │
│ unknown │ 1) Under 10  │              552 │      5.17 │      22722.84 │
│ unknown │ 2) 10-19     │             1043 │      3.98 │      57235.89 │
│ unknown │ 3) 20-29     │              330 │      5.65 │      45379.43 │
│ unknown │ 4) 30-39     │              180 │      3.62 │      21913.62 │
│ unknown │ 5) 40-49     │              152 │      2.09 │      14184.72 │
│ unknown │ 6) 50+       │              500 │      4.03 │     343594.88 │
└─────────┴──────────────┴──────────────────┴───────────┴───────────────┘
  30 rows                                                     5 columns
