┌────────────┬───────────┬──────────────────┬───────────┬─────────────┬───────────────┬─────────────────┐
│   state    │ city_tier │ num_transactions │ avg_price │ total_units │ total_revenue │ avg_order_value │
│  varchar   │  varchar  │      int64       │  double   │   int128    │    double     │     double      │
├────────────┼───────────┼──────────────────┼───────────┼─────────────┼───────────────┼─────────────────┤
│ Colorado   │ Unknown   │              460 │    100.77 │        1681 │     111737.99 │          242.91 │
│ Washington │ Tier 2    │             1397 │     88.42 │        4731 │     358678.86 │          256.75 │
│ Illinois   │ Tier 2    │             1407 │     77.88 │        6101 │     360140.35 │          255.96 │
│ NY         │ Tier 1    │             1885 │     73.74 │        6747 │     352573.66 │          187.04 │
│ New York   │ Tier 2    │             1456 │      71.6 │        5768 │     265903.67 │          182.63 │
│ Calfornia  │ Tier 2    │             1338 │     70.95 │        5431 │     270134.53 │          201.89 │
│ Colorado   │ Tier 2    │             1332 │     69.24 │        4902 │     272536.88 │          204.61 │
│ Georgia    │ Unknown   │              451 │     68.61 │        2961 │     113940.39 │          252.64 │
│ Florida    │ Tier 1    │             1852 │     67.39 │        8596 │     390657.14 │          210.94 │
│ New York   │ Tier 3    │              909 │     67.27 │        3372 │      196509.0 │          216.18 │
│ NY         │ Unknown   │              480 │      66.8 │        2073 │     127615.35 │          265.87 │
│ Texas      │ Tier 2    │             1480 │      65.5 │        7018 │     270827.91 │          182.99 │
│ NY         │ Tier 3    │              953 │     63.78 │        4185 │     216239.95 │           226.9 │
│ California │ Tier 2    │             1411 │     63.52 │        6059 │     314980.58 │          223.23 │
│ Illinois   │ Unknown   │              477 │     62.92 │        2200 │      96538.46 │          202.39 │
│ Washington │ Tier 1    │             1866 │     62.56 │        7767 │     364093.09 │          195.12 │
│ California │ Tier 1    │             1842 │     60.54 │        5821 │     321523.62 │          174.55 │
│ Calfornia  │ Tier 1    │             1924 │     59.91 │        8957 │     370377.73 │           192.5 │
│ NY         │ Tier 2    │             1473 │     59.52 │        5575 │     278773.09 │          189.26 │
│ Florida    │ Tier 2    │             1371 │     57.79 │        5784 │     247364.05 │          180.43 │
│ Washington │ Unknown   │              450 │     56.81 │        2451 │      77408.01 │          172.02 │
│ Georgia    │ Tier 1    │             1814 │     56.04 │        7165 │     340350.34 │          187.62 │
│ Georgia    │ Tier 3    │              941 │     55.87 │        4180 │     172684.11 │          183.51 │
│ Colorado   │ Tier 1    │             1877 │     55.13 │        8003 │     369092.99 │          196.64 │
│ Illinois   │ Tier 1    │             1864 │     55.06 │        6560 │     306396.87 │          164.38 │
│ Florida    │ Tier 3    │              904 │     52.25 │        3788 │      162066.2 │          179.28 │
│ Florida    │ Unknown   │              444 │     51.63 │        1057 │      54290.83 │          122.28 │
│ New York   │ Unknown   │              454 │     51.57 │        2789 │      83612.03 │          184.17 │
│ Texas      │ Tier 1    │             1763 │     49.52 │        7139 │      315165.7 │          178.77 │
│ Georgia    │ Tier 2    │             1349 │     48.88 │        6803 │     231977.93 │          171.96 │
│ California │ Tier 3    │              911 │     47.65 │        3468 │     148777.77 │          163.31 │
│ Calfornia  │ Unknown   │              446 │     47.47 │        1446 │      62409.72 │          139.93 │
│ Colorado   │ Tier 3    │              959 │      47.3 │        4574 │     191795.85 │           200.0 │
│ New York   │ Tier 1    │             1839 │     42.31 │        7117 │      211614.3 │          115.07 │
│ Calfornia  │ Tier 3    │              952 │     41.19 │        4051 │     173373.21 │          182.11 │
│ Illinois   │ Tier 3    │              951 │     41.09 │        4633 │     171713.21 │          180.56 │
│ Washington │ Tier 3    │              929 │     39.69 │        3494 │     152203.07 │          163.84 │
│ Texas      │ Unknown   │              430 │     38.76 │        2172 │      94771.41 │           220.4 │
│ Texas      │ Tier 3    │              947 │     37.94 │        3405 │      118190.0 │           124.8 │
│ California │ Unknown   │              483 │      36.8 │        2259 │      88763.01 │          183.77 │
└────────────┴───────────┴──────────────────┴───────────┴─────────────┴───────────────┴─────────────────┘
  40 rows                                                                                     7 columns
